sensor,mac_address,unidade_medida,valor,latitude,longitude,status,timestamp
umidade,00:1B:44:11:3A:B9,%,66.26,-19.916681,-43.934493,false,2025-04-08T07:06:42.895953
umidade,00:1B:44:11:3A:B7,%,86.92,-19.916681,-43.934493,false,2025-04-09T18:13:42.895978
umidade,00:1B:44:11:3A:B9,%,52.31,-23.55052,-46.633308,true,2025-04-07T18:48:42.895992
umidade,00:1B:44:11:3A:B7,%,69.01,-19.916681,-43.934493,true,2025-04-09T11:37:42.896007
umidade,00:1B:44:11:3A:B9,%,31.08,-23.55052,-46.633308,true,2025-04-08T17:39:42.896021
umidade,00:1B:44:11:3A:BA,%,52.42,-19.916681,-43.934493,true,2025-04-07T19:02:42.896035
umidade,00:1B:44:11:3A:B8,%,35.77,-22.906847,-43.172896,true,2025-04-07T17:38:42.896048
umidade,00:1B:44:11:3A:B7,%,59.88,-23.55052,-46.633308,true,2025-04-09T23:49:42.896063
umidade,00:1B:44:11:3A:B7,%,85.16,-19.916681,-43.934493,true,2025-04-11T21:20:42.896076
umidade,00:1B:44:11:3A:B9,%,83.77,-15.794229,-47.882166,true,2025-04-13T21:59:42.896091
umidade,00:1B:44:11:3A:B9,%,65.43,-22.906847,-43.172896,true,2025-04-09T03:45:42.896106
umidade,00:1B:44:11:3A:BA,%,43.67,-19.916681,-43.934493,true,2025-04-09T14:14:42.896120
umidade,00:1B:44:11:3A:B9,%,60.66,-23.55052,-46.633308,false,2025-04-11T05:11:42.896135
umidade,00:1B:44:11:3A:B8,%,33.33,-19.916681,-43.934493,true,2025-04-12T17:23:42.896149
umidade,00:1B:44:11:3A:B8,%,85.48,-19.916681,-43.934493,false,2025-04-13T01:32:42.896182
umidade,00:1B:44:11:3A:BA,%,75.38,-15.794229,-47.882166,true,2025-04-09T08:11:42.896196
umidade,00:1B:44:11:3A:B7,%,67.55,-22.906847,-43.172896,true,2025-04-12T15:37:42.896210
umidade,00:1B:44:11:3A:B7,%,49.96,-23.55052,-46.633308,false,2025-04-14T01:16:42.896226
umidade,00:1B:44:11:3A:B9,%,75.27,-19.916681,-43.934493,false,2025-04-09T06:44:42.896241
umidade,00:1B:44:11:3A:B9,%,77.76,-15.794229,-47.882166,false,2025-04-14T00:10:42.896255
umidade,00:1B:44:11:3A:B7,%,43.66,-19.916681,-43.934493,true,2025-04-10T22:34:42.896269
umidade,00:1B:44:11:3A:B9,%,32.39,-15.794229,-47.882166,false,2025-04-10T01:28:42.896283
umidade,00:1B:44:11:3A:BA,%,86.63,-23.55052,-46.633308,true,2025-04-10T04:28:42.896297
umidade,00:1B:44:11:3A:BA,%,59.36,-15.794229,-47.882166,true,2025-04-10T04:47:42.896312
